,Area,AudienceCount,AvgPeople,AvgPrice,BoxOffice,Genre_Main,MovieID,MovieName,ReleaseTime,ShowCount,defaultImage,typeid
7,中国,2189,40,32,69673,剧情,619293,爸爸去哪儿,2014-01-31,542737,http://www.cbooo.cn/moviepic/208207.jpg,1
8,中国,1939,17,36,69653,奇幻,629524,悟空传,2017-07-13,1122734,http://www.cbooo.cn/moviepic/226435.jpg,1
9,美国,1721,38,40,69475,科幻,616436,环太平洋,2013-07-31,451629,http://www.cbooo.cn/moviepic/146649.jpg,5
10,美国,1944,13,35,69011,动作,349187,正义联盟,2017-11-17,1470572,http://www.cbooo.cn/moviepic/70233.jpg,5
11,美国,1840,17,37,68611,科幻,644133,银河护卫队2,2017-05-05,1069304,http://www.cbooo.cn/moviepic/216008.jpg,5
12,中国,1988,30,34,68293,动作,615300,九层妖塔,2015-09-30,654391,http://www.cbooo.cn/moviepic/208914.jpg,1
13,中国香港/中国,1856,27,37,67826,动作,641077,寒战2,2016-07-08,687875,http://www.cbooo.cn/moviepic/228965.jpg,2
14,美国,1914,43,35,67225,动作,359941,碟中谍4,2012-01-28,444182,http://www.cbooo.cn/moviepic/87871.jpg,5
15,美国,1860,22,36,67176,科幻,302023,蚁人,2015-10-16,831696,http://www.cbooo.cn/moviepic/57903.jpg,5
16,中国,2001,34,33,66544,喜剧,618253,分手大师,2014-06-27,584942,http://www.cbooo.cn/moviepic/206382.jpg,1
17,美国,1835,17,36,66227,动作,644135,黑豹,2018-03-09,1103154,http://www.cbooo.cn/moviepic/218085.jpg,5
18,中国,2106,18,31,65886,喜剧,653984,情圣,2016-12-30,1190949,http://www.cbooo.cn/moviepic/237503.jpg,1
19,中国/中国香港,1744,51,37,65016,剧情,566405,唐山大地震,2010-07-22,340839,http://www.cbooo.cn/moviepic/99400.jpg,2
